0.1,0,0
0.1,0,0
0.1,0,0
0.48,0,0
0.48,0,0
0.48,0,0
0.75,0,0
0.75,0,0
0.75,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.95,0,0
0.95,0,0
0.95,0,0
0.05,0,0
0.05,0,0
0.05,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.3,0,0
0.3,0,0
0.3,0,0
0.7,0,0
0.7,0,0
0.7,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.95,0,0
0.95,0,0
0.95,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.3,0,0
0.3,0,0
0.3,0,0
0.73,0,0
0.73,0,0
0.73,0,0
0.25,0,0
0.25,0,0
0.25,0,0
0.72,0,0
0.72,0,0
0.72,0,0
0.3,0,0
0.3,0,0
0.3,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.56,0,0
0.56,0,0
0.56,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.5,0,0
0.5,0,0
0.5,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.1,0,0
0.1,0,0
0.1,0,0
0.21200,1535,15360
0.21200,12,20
0.21200,12,20
0.41400,1535,15360
0.41400,12,20
0.41400,12,20
0.37400,1535,15360
0.37400,12,20
0.37400,12,20
0.38066,2303,23040
0.38066,155,286
0.38066,75,142
0.77394,2303,23040
0.77394,155,286
0.77394,75,142
0.39321,2303,23040
0.39321,339,622
0.39321,151,296
0.60410,1151,11520
0.60410,1,4
0.60410,1,4
0.90541,767,7680
0.90541,65,132
0.90541,39,74
0.69545,1151,11520
0.69545,171,320
0.69545,91,178
0.69232,2303,23040
0.69232,339,622
0.69232,151,296
0.24795,2303,23040
0.24795,161,298
0.24795,75,148
0.56426,2303,23040
0.56426,339,622
0.56426,151,308
0.16313,1151,11520
0.16313,49,98
0.16313,43,90
0.91000,767,7680
0.91000,3,4
0.91000,3,4
0.14302,767,7680
0.14302,123,238
0.14302,71,148
0.06780,383,3840
0.06780,41,84
0.06780,35,72
0.94009,575,5760
0.94009,179,336
0.94009,87,170
0.75312,575,5760
0.75312,157,293
0.75312,77,145
0.43467,575,5760
0.43467,91,172
0.43467,73,130
0.55875,575,5760
0.55875,123,235
0.55875,55,129
0.59108,287,2880
0.59108,20,32
0.59108,20,34
0.62732,575,5760
0.62732,119,242
0.62732,57,120
0.31042,383,3840
0.31042,3,6
0.31042,3,6
0.47435,383,3840
0.47435,99,192
0.47435,87,196
0.00000,0,10
0.00027,0,10
0.00019,0,10
0.00013,0,10
0.00000,0,10
0.00074,0,10
0.00005,0,10
0.00000,0,10
0.00040,0,10
0.00055,0,10
0.00006,0,10
0.00003,0,10
0.00017,0,10
0.00178,0,10
0.00001,0,10
0.00000,0,10
0.00001,0,10
0.00094,0,10
0.00111,0,10
0.00011,0,10
